ax, ay, az, gx, gy, gz, lat, lng, speed
0.2556,0.3518,0.6702,-9.2010,36.0413,159.9197,0.000000,0.000000,0.00
-0.3726,0.1296,0.7642,-157.0358,-5.9357,130.1804,0.000000,0.000000,0.00
-0.3618,0.1497,1.1951,-33.5999,-16.6855,-14.1830,0.000000,0.000000,0.00
-0.0432,0.1370,0.9290,-5.4855,2.4490,-0.0381,0.000000,0.000000,0.00
-0.0479,0.0645,0.9290,-2.0294,1.3199,-0.2441,0.000000,0.000000,0.00
-0.1096,0.0466,0.9404,-3.3569,8.7051,-2.3880,0.000000,0.000000,0.00
-0.0796,0.0410,0.9072,0.1984,0.8545,0.9995,0.000000,0.000000,0.00
-0.0957,0.0303,0.9080,-7.4310,27.4582,8.2932,0.000000,0.000000,0.00
-0.1387,-0.0076,0.9536,-2.0523,16.1591,-0.3510,0.000000,0.000000,0.00
-0.0779,0.0261,0.9397,-4.3793,1.3733,1.3733,0.000000,0.000000,0.00
-0.1230,0.0203,0.9246,-2.9602,0.3967,1.0147,0.000000,0.000000,0.00
-0.1440,0.0388,0.9651,-2.2964,3.4256,1.1063,0.000000,0.000000,0.00
-0.1006,0.0479,0.9246,-2.8381,0.8087,0.9689,0.000000,0.000000,0.00
-0.0994,0.0457,0.9197,-2.8687,1.0300,0.7019,0.000000,0.000000,0.00
-0.1147,0.0359,0.9182,-2.7161,0.7858,0.8698,0.000000,0.000000,0.00
-0.0718,0.0850,0.8997,-2.6474,2.2049,0.7629,0.000000,0.000000,0.00
-0.1140,0.0422,0.9309,-2.8000,0.7401,0.7706,0.000000,0.000000,0.00
-0.1128,0.0483,0.9336,-2.7618,0.7248,0.9308,0.000000,0.000000,0.00
-0.1135,0.0515,0.9270,-2.6627,0.8240,0.9918,0.000000,0.000000,0.00
-0.1060,0.0457,0.9255,-2.8992,0.6943,0.9689,0.000000,0.000000,0.00
-0.1140,0.0403,0.9258,-2.7924,0.7477,0.7629,0.000000,0.000000,0.00
-0.1106,0.0374,0.9272,-2.8305,0.6561,0.7477,0.000000,0.000000,0.00
-0.1189,0.0410,0.9119,-2.6550,0.6104,0.7172,0.000000,0.000000,0.00
-0.1094,0.0430,0.9185,-2.8687,0.6409,0.8774,0.000000,0.000000,0.00
-0.1130,0.0449,0.9255,-2.8610,0.7172,0.9995,0.000000,0.000000,0.00
-0.1125,0.0457,0.9268,-2.6855,0.6256,0.8545,0.000000,0.000000,0.00
-0.1086,0.0432,0.9272,-2.7618,0.7706,0.9232,0.000000,0.000000,0.00
-0.1162,0.0444,0.9314,-2.7313,0.8087,0.7629,0.000000,0.000000,0.00
-0.1096,0.0425,0.9236,-2.7390,0.7172,0.7172,0.000000,0.000000,0.00
-0.1177,0.0479,0.9292,-2.9144,0.7935,0.9308,0.000000,0.000000,0.00
-0.1108,0.0417,0.9287,-2.6550,0.6332,0.8392,0.000000,0.000000,0.00
-0.1091,0.0442,0.9277,-2.8076,0.6256,0.8240,0.000000,0.000000,0.00
-0.1140,0.0415,0.9192,-2.7237,0.6332,0.8392,0.000000,0.000000,0.00
-0.1143,0.0427,0.9131,-2.7924,0.7324,0.8163,0.000000,0.000000,0.00
-0.1113,0.0430,0.9241,-2.8152,0.9003,0.9537,0.000000,0.000000,0.00
-0.1099,0.0544,0.9351,-2.7618,0.6866,0.6714,0.000000,0.000000,0.00
-0.1118,0.0491,0.9272,-2.7390,0.7095,0.6104,0.000000,0.000000,0.00
-0.1123,0.0425,0.9189,-2.8152,0.6866,0.8621,0.000000,0.000000,0.00
-0.1143,0.0422,0.9209,-2.9373,0.6943,0.8011,0.000000,0.000000,0.00
-0.1111,0.0488,0.9180,-2.9755,0.9384,0.8545,0.000000,0.000000,0.00
-0.1125,0.0417,0.9180,-2.8305,0.6180,0.9155,0.000000,0.000000,0.00
-0.1157,0.0376,0.9185,-2.6779,0.7477,0.8240,0.000000,0.000000,0.00
-0.1128,0.0396,0.9136,-2.8534,0.7935,0.9155,0.000000,0.000000,0.00
-0.1111,0.0444,0.9265,-2.8305,0.6790,0.9079,0.000000,0.000000,0.00
-0.1099,0.0442,0.9277,-2.7237,0.6027,0.8469,0.000000,0.000000,0.00
-0.1057,0.0447,0.9272,-2.7924,0.7248,0.8163,0.000000,0.000000,0.00
-0.1199,0.0403,0.9270,-2.8229,0.6866,0.7935,0.000000,0.000000,0.00
-0.1106,0.0405,0.9209,-2.8000,0.8545,0.7935,0.000000,0.000000,0.00
-0.0732,0.0696,0.8882,-2.7313,2.1667,1.5640,0.000000,0.000000,0.00
-0.1160,0.0425,0.9255,-2.7542,0.6409,0.8163,0.000000,0.000000,0.00
-0.2690,-0.0454,1.0239,-3.9062,-13.2141,2.8610,0.000000,0.000000,0.00
-0.1721,0.0852,0.9041,-2.0905,-0.3052,1.0910,0.000000,0.000000,0.00
-0.2349,0.0701,0.9482,-2.5940,3.1052,2.0905,0.000000,0.000000,0.00
-0.1660,0.0442,0.9197,-2.5253,-0.1907,0.6027,0.000000,0.000000,0.00
-0.3054,0.0042,1.0183,-0.1602,-13.8474,-8.9874,0.000000,0.000000,0.00
0.3552,-0.3533,0.8804,-3.4180,3.3417,0.9689,0.000000,0.000000,0.00
-0.1377,0.0474,0.9138,-2.7924,1.0300,0.7706,0.000000,0.000000,0.00
-0.1453,0.0500,0.9214,-2.8610,0.4578,0.7935,0.000000,0.000000,0.00
-0.1433,0.0444,0.9165,-2.8000,0.8163,0.8926,0.000000,0.000000,0.00
-0.1392,0.0371,0.9172,-2.9068,0.8392,0.9537,0.000000,0.000000,0.00
-0.1372,0.0510,0.9177,-2.8229,0.7782,0.7629,0.000000,0.000000,0.00
-0.1499,0.0486,0.9236,-2.7237,0.7477,0.8163,0.000000,0.000000,0.00
