ax, ay, az, gx, gy, gz, lat, lng, speed
0.1399,-0.5820,0.5769,38.2156,47.5922,-155.7465,0.000000,0.000000,0.00
0.2979,0.0791,0.8003,1.3351,-18.4479,24.4904,0.000000,0.000000,0.00
0.5105,0.2566,0.9265,21.0876,-14.6484,-13.6185,0.000000,0.000000,0.00
0.1750,0.1101,0.8276,-15.7471,66.1469,37.7655,0.000000,0.000000,0.00
0.7400,0.3167,0.9419,-2.7008,22.7737,-7.7972,0.000000,0.000000,0.00
0.4868,-0.0020,0.8333,0.7019,-0.8926,-0.1907,0.000000,0.000000,0.00
0.4075,0.0410,0.8489,-0.2441,-0.4959,-2.0981,0.000000,0.000000,0.00
0.4829,0.0564,0.8108,-2.0294,1.1520,0.8469,0.000000,0.000000,0.00
0.4441,0.0598,0.8562,-2.5406,1.0986,0.6638,0.000000,0.000000,0.00
0.4087,0.0774,0.8716,-2.7237,2.0294,0.4883,0.000000,0.000000,0.00
-0.0308,0.0537,1.1597,0.6104,-14.1907,6.1646,0.000000,0.000000,0.00
0.4397,0.0950,0.8459,-2.4033,1.2360,0.0687,0.000000,0.000000,0.00
0.5381,0.0715,0.7683,-0.5264,-4.5624,1.1749,0.000000,0.000000,0.00
0.5007,0.1445,0.8293,-2.4567,0.8011,0.5341,0.000000,0.000000,0.00
0.3823,0.0876,0.8586,-3.8986,1.3504,0.5798,0.000000,0.000000,0.00
0.1533,0.1060,0.9465,8.4381,18.1046,-3.4485,0.000000,0.000000,0.00
0.3086,0.0361,0.9031,1.7471,-4.3030,1.0300,0.000000,0.000000,0.00
0.3447,0.0383,0.8955,-2.7542,0.7553,0.7477,0.000000,0.000000,0.00
0.3369,0.0493,0.9016,-3.1815,0.4654,1.2207,0.000000,0.000000,0.00
0.2859,0.1179,1.0486,-2.1667,-26.4130,21.5378,0.000000,0.000000,0.00
0.4287,0.0659,0.8716,-2.1210,-0.5798,0.3052,0.000000,0.000000,0.00
0.4336,0.0608,0.8584,-2.5787,2.4033,0.7629,0.000000,0.000000,0.00
0.4375,0.0911,0.8772,6.9427,3.5934,-18.3029,0.000000,0.000000,0.00
0.5491,0.0461,0.7654,-8.1329,-5.1727,12.7716,0.000000,0.000000,0.00
0.4236,0.0593,0.8542,1.0376,-0.2060,-4.3793,0.000000,0.000000,0.00
0.4438,0.0691,0.8584,-2.8610,0.7172,0.9155,0.000000,0.000000,0.00
0.4363,0.0605,0.8535,-2.8152,0.6104,0.7553,0.000000,0.000000,0.00
0.4517,0.0637,0.8555,-2.8763,0.7858,0.9537,0.000000,0.000000,0.00
0.4438,0.0674,0.8523,-2.7237,0.5875,0.8850,0.000000,0.000000,0.00
0.4453,0.0547,0.8525,-2.7924,0.8621,0.8087,0.000000,0.000000,0.00
0.4412,0.0559,0.8521,-2.8915,0.9003,0.9689,0.000000,0.000000,0.00
0.4465,0.0635,0.8513,-2.9221,0.6485,0.9003,0.000000,0.000000,0.00
