updated_at,updated_on, Roll,Pitch,Latitude,Longitude,Velocity,Road Type
8/29/2024,3:10:52 PM,0.552404,-5.5478168,22.5167122,88.4182892,1.53716,1
8/29/2024, 3:10:55 PM,0.5410414,-5.423193,22.5167103,88.4182816,1.53716,1
8/29/2024, 3:10:57 PM,0.5232322,-5.2982111,22.516716,88.4182816,0.90748,1
8/29/2024, 3:11:00 PM,0.5058087,-5.1764088,22.5167255,88.4182663,0.62968,1
8/29/2024, 3:11:03 PM,0.4886129,-5.0568962,22.5167122,88.4182587,2.5187199,1
8/29/2024, 3:11:05 PM,0.476843,-4.9254723,22.5167007,88.4182587,2.7780001,1
8/29/2024, 3:11:08 PM,0.4632679,-4.8029728,22.5166931,88.4182587,2.7780001,1
8/29/2024, 3:11:10 PM,0.4591768,-4.6838775,22.5166798,88.4182739,2.14832,1
8/29/2024, 3:11:13 PM,0.4529473,-4.5704226,22.5166435,88.4182816,2.14832,1
8/29/2024, 3:11:15 PM,0.4401352,-4.4628124,22.5166225,88.4182892,3.704,1
8/29/2024, 3:11:18 PM,0.4308246,-4.3513751,22.5166073,88.4182892,3.704,1
8/29/2024, 3:11:22 PM,0.4264946,-4.2493625,22.5165787,88.4182892,3.5373199,1
8/29/2024, 3:11:25 PM,0.4187137,-4.1425428,22.5165634,88.4182968,2.9261601,1
8/29/2024, 3:11:28 PM,0.4101726,-4.0450354,22.5165272,88.4182968,3.9818001,1
8/29/2024, 3:11:30 PM,0.3989376,-3.9453003,22.5165157,88.4183044,3.6854801,1
8/29/2024, 3:11:39 PM,0.3868768,-3.8495009,22.5165043,88.4183044,3.8706801,1
8/29/2024, 3:11:41 PM,0.3785625,-3.7415795,22.5166054,88.4182739,0.38892,1
8/29/2024, 3:11:43 PM,0.3676603,-3.651298,22.5165997,88.4182816,0.926,1
8/29/2024, 3:11:45 PM,0.3623697,-3.5541027,22.5166149,88.4182816,0.68524,1
8/29/2024, 3:11:47 PM,0.3488206,-3.4586358,22.5165558,88.4182968,2.75948,1
8/29/2024, 3:11:48 PM,0.3338329,-3.3752079,22.5165806,88.4182892,1.3334399,1
8/29/2024, 3:11:50 PM,0.3200815,-3.2863326,22.5166569,88.4182587,0.62968,1
8/29/2024, 3:11:52 PM,0.3111914,-3.2076926,22.5166512,88.4182587,1.3519599,1
8/29/2024, 3:11:54 PM,0.3114,-3.1234238,22.5166607,88.4182587,0.59264,1
8/29/2024, 3:11:55 PM,0.2979077,-3.0438695,22.5166512,88.4182587,2.00016,1
8/29/2024, 3:11:57 PM,0.285199,-2.9654813,22.5166435,88.4182587,2.2964799,1
8/29/2024, 3:11:59 PM,0.2838636,-2.8792548,22.5166321,88.4182663,2.2409201,1
8/29/2024, 3:12:01 PM,0.2787892,-2.7989068,22.5166245,88.4182739,1.852,1
8/29/2024, 3:12:02 PM,0.2804094,-2.7242634,22.5166168,88.4182816,2.1668401,1
8/29/2024, 3:12:04 PM,0.2681588,-2.6542604,22.5166149,88.4182816,2.07424,1
8/29/2024, 3:12:06 PM,0.258047,-2.5812528,22.516613,88.4182892,1.3334399,1
8/29/2024, 3:12:08 PM,0.250001,-2.5068331,22.516613,88.4182892,1.4075201,1
8/29/2024, 3:12:09 PM,0.2363529,-2.4347463,22.5166187,88.4182892,1.07416,1
8/29/2024, 3:12:11 PM,0.2284803,-2.3665893,22.5166264,88.4182892,0.75932,1
8/29/2024, 3:12:13 PM,0.2239326,-2.3004093,22.5166321,88.4182892,0.50004,1
8/29/2024, 3:12:15 PM,0.2249742,-2.2373564,22.516634,88.4182892,1.09268,1
8/29/2024, 3:12:16 PM,0.207764,-2.1809423,22.5166397,88.4182816,1.3890001,1
